index,name,artist,uri,mood(s)
0,Stockholm Sweetnin',"Scott Hamilton, Jesper Lundgaard, Jan Lundgren, Kristian Leth, ",spotify:track:4dn6rw5Ze1uWrLm1uOk1gu,dinner
1,Almost Like Being in Love,"Red Garland, Paul Chambers, Art Taylor, ",spotify:track:6CDQBADsdzJwc3qZ3OPDHH,dinner
2,Garden of Delight,"Jan Lundgren Trio, ",spotify:track:00CIFNT8kOm61dupysBFp8,dinner
3,New Orleans,"Wynton Marsalis, ",spotify:track:2z6D5bIA9Wprdqi1B8nnVh,dinner
4,The Sequel,"Wingspan, ",spotify:track:1ykNjOQbYJgZE3pflVB9MN,dinner
5,Sun Out,"Eric Reed, ",spotify:track:3MUYNYanSRUNJTJND4BW6Z,dinner
6,Let's Call the Whole Thing Off,"Seamus Blake, Chris Cheek, ",spotify:track:7jib7AfCM6wU5KjaA6Zt5d,dinner
7,Cantaloupe Island,"Nat Adderley, ",spotify:track:3IUX5LP1PJrneT8YRmZ3zY,dinner
8,Way 'Cross Town - Originally Performed By Carl Perkins,"Benny Green, Kenny Washington, Peter Washington, ",spotify:track:0YlOfF6acp4MSxlNxcslfo,dinner
9,Gramercy Sunset,"The Hot Sardines, ",spotify:track:3dtrI8OOHWxMyg6EHNecdt,dinner
10,One For Daddy-O,"Cannonball Adderley, ",spotify:track:4f0D7T8yswXUJ62AKLoMtS,dinner
11,The Runaround,"Peter Edwards Trio, ",spotify:track:5BUzXFDINXfB3VDh1BkmzL,dinner
12,Have You Met Miss Jones,"Kenny Garrett Quintet, Mulgrew Miller, Tony Reedus, Nat Reeves, Woody Shaw, ",spotify:track:44IDFP9CwgB7tj2HEyY4Zi,dinner
13,Sandu,"Clifford Brown, Max Roach Quintet, ",spotify:track:6OYVeWlKICv4I70RM1yHUC,dinner
14,Nice Work If You Can Get It,"Marcus Roberts, ",spotify:track:7lDhAXTGe5LO9xSbq56t0K,dinner
15,A Touch Of Silver,"Nicholas Payton, ",spotify:track:4lsoraogx0H5pMYMQe9FyO,dinner
16,They Didn't Believe Me,"Beegie Adair, ",spotify:track:34oMi39G5RYgaCPwRNJ7OU,dinner
17,Begin The Beguine - Alternate Take,"Art Pepper, ",spotify:track:48Q8ER4XOaE4r00bjRxT9r,dinner
18,Cambridge Place,"Danny Grissett, Vicente Archer, Kendrick Scott, ",spotify:track:6geba7EiMvkWk7h2XWzjb8,dinner
19,Mojo,"Booker Ervin, ",spotify:track:2uiTBklIqGQhPYdlUGvPl3,dinner
20,The Outlaw (Rudy Van Gelder Edition) [2007 - Remastered],"Horace Silver Quintet, ",spotify:track:5lRBU0r21BO0TMmUe73Ysj,dinner
21,Killer Joe,"Benny Golson, ",spotify:track:0aEcArQsqTpErHdixEVaHj,dinner
22,Remember - 1999 Digital Remaster,"Hank Mobley, ",spotify:track:2BhU0Hl5OatWiCW93pE2b8,dinner
23,Blues for Sharpie,"David Hazeltine, ",spotify:track:3gPr9tbx4jSM0nS6O9J5UZ,dinner
24,Smoke Stack - 1999 Digital Remaster,"Johnny Griffin, ",spotify:track:77q37gyYNb25EzIkpMic11,dinner
25,Just in Time,"Bud Shank, ",spotify:track:1zEkUwTpz0zKRMPsZdzMbY,dinner
26,Stella By Starlight,"Joe Lovano, ",spotify:track:3hY3MPL9hAITPgVfiVlL5K,dinner
27,Let's Fall In Love,"Stan Getz, Gerry Mulligan, ",spotify:track:2nhuWw711RfPtIY3NrpOZw,dinner
28,Brother Hiroshi,"Anthony Wonsey Trio, Richie Goods, Tony Reedus, ",spotify:track:6pZOrJ9w1HbZJWu9TvBzIs,dinner
29,Ham Hocks and Cabbage,"Christian McBride, Christian McBride Trio, ",spotify:track:4WCZalosPdTXmwZ5ZUOarr,dinner
30,Blue Monk,"Ray Bryant Trio, ",spotify:track:3aiVRVghyLm8uMZoL4U96c,dinner
31,Lucky To Be Me,"Tommy Flanagan, ",spotify:track:4QJTE3XQIN8lY4RBwc2c6w,dinner
32,Love Jumped Out,"Stan Getz, Bob Brookmeyer, ",spotify:track:3INugpDQxj3H8UlGg0zigo,dinner
33,Stolen Moments,"Oliver Nelson, ",spotify:track:11jHKP7tpYcDrVuSctGG6o,dinner
34,Honeysuckle Rose,"Ray Bryant, ",spotify:track:37fKuIYSd67vF8mPpkgKyS,dinner
35,Bee Blues,"Brad Mehldau Trio, ",spotify:track:6keKDGemOj5o7VJHNVaeYl,dinner
36,London Blues,"Brad Mehldau, ",spotify:track:5x0knlH4sCOHjw2GjEZPEB,dinner
37,Eronel,"Thelonious Monk, ",spotify:track:1um3T5M9KAgWLDQk0IUzhh,dinner
38,Send It On,"D'Angelo, ",spotify:track:3AhSSfO1Bovo84lQjJZrzZ,dinner
39,Spend The Night,"Rahsaan Patterson, ",spotify:track:14VwBAL1qSlG4ovOSYUQF4,dinner
40,No Ordinary Love - Remastered,"Sade, ",spotify:track:1tV7RXsTGdwxAvEo8Rv9pp,dinner
41,Keep You in Mind,"Guordan Banks, ",spotify:track:7BAAhI1TT3dDBS3WKrJhyZ,dinner
42,So In Love - feat. Anthony Hamilton,"Jill Scott, ",spotify:track:1HazDXnvOTubBFmZnabq7Q,dinner
43,Show Me the Way,"Earth & Wind & Fire feat. Raphael Saadiq, ",spotify:track:64mSigGWctZbfbfFpmBeer,dinner
44,Anniversary - Radio Edit,"Tony! Toni! Toné!, ",spotify:track:2wmHH8Xc9P2RN6fGDH4ON6,dinner
45,Angel (Live),"Lalah Hathaway, ",spotify:track:0QmLbWOTGnaMgUCL8xfWiw,dinner
46,"Baby, This Love I Have","Minnie Riperton, ",spotify:track:397fxHew7NyjryGWGr1Imy,dinner
47,All The Joy,"Moonchild, ",spotify:track:6Z6apKp8CAta4BwlrrwlxO,dinner
48,Pink + White,"Frank Ocean, ",spotify:track:3gATNBVu8d7oWs9WijPDjD,dinner
49,First Began,"PJ Morton, ",spotify:track:2NnvIfwJpJtIHCsoWU3BCz,dinner
50,The Greatest,"KING, ",spotify:track:1oiD5zGVKxlMNCxSUXGL9g,dinner
51,Green Aphrodisiac,"Corinne Bailey Rae, ",spotify:track:04Ojun9jaS6U7HTwRIoRf3,dinner
52,GOT IT GOOD,"KAYTRANADA, Craig David, ",spotify:track:2qUZliZ9NHUYIAZqRNe6pZ,dinner
53,Something,"Phonte, Eric Roberson, ",spotify:track:0qweeIYNNLMlGrX4czWMi1,dinner
54,Deep Waters,"Incognito, ",spotify:track:4MmwyJaWLDXjjWzXQti4cl,dinner
55,There’s Nothing Like This (feat. Pino Palladino),"Omar, Pino Palladino, ",spotify:track:6W2bTxfCjQSgQHwH2LgbGC,dinner
56,Cloud 9 - Main,"Donnie, ",spotify:track:7muWyt73NWsGW3aPV1YILN,dinner
57,The Ingredients Of Love - Duet w/ Musiq Soulchild,"Angie Stone, Musiq Soulchild, ",spotify:track:46ojXpU8hKUPFiDhBwUt6J,dinner
58,Lake By the Ocean,"Maxwell, ",spotify:track:1GWVyqmjhJkUfqaJwUk8Xi,dinner
59,Love Natural,"Frank Mccomb, ",spotify:track:0AZTkbO9umWmABq28mfkle,dinner
60,In Love With You,"Erykah Badu, ",spotify:track:79UjqYt9MCLlBpzAvaKVJj,dinner
61,Beautiful Surprise,"India.Arie, ",spotify:track:4dlh921u5Ojn59FK2TOC24,dinner
62,No Limit,"Kindred The Family Soul, ",spotify:track:22Ixvd6v1ofmishJchJfvN,dinner
63,Take Me Away,"John Legend, ",spotify:track:767PVupkn44LW4Mt9ZpKAV,dinner
64,So Into You,"Ledisi, ",spotify:track:4ev5Rkbz4eBHm447hrf7pZ,dinner
65,When I See U,"Fantasia, ",spotify:track:4iuNZTcvT9diFySSzVsnVS,dinner
66,Love No Limit,"Mary J. Blige, ",spotify:track:7gEGhEb1VcCeC6lJWnjI9Z,dinner
67,So Amazing,"Luther Vandross, ",spotify:track:0HrrWZIJ7hR7C0JmDZ2uvN,dinner
68,Lovin' You,"The O'Jays, ",spotify:track:1JPJQLSYAvPp4qnzC8Uk6Y,dinner
69,"Love, Need And Want You","Patti LaBelle, ",spotify:track:5Ikg1hHVz53mrytVXGrztN,dinner
70,All I Ever Think About,"Chrisette Michele, ",spotify:track:4KWRdYADKz1Fo1eLXWuMLi,dinner
71,Let's Stay Together - Midnight Mix,"Eric Benét, ",spotify:track:13fIg7eB5MP9slSQayHhjH,dinner
72,I Know You Know,"Esperanza Spalding, ",spotify:track:3afeZ81GDy59tATovKyH6Z,dinner
73,Someone To Love,"Mint Condition, ",spotify:track:25SXTm4vpejjWXqQrUftkO,dinner
74,How Many Ways,"Toni Braxton, ",spotify:track:4cVWa9vuwfPOukSIZN9012,dinner
75,So Into You,"Tamia, ",spotify:track:3c6afiysmB7OnxQzzSqRfD,dinner
76,Closer,"Goapele, ",spotify:track:2UXEwIOtNGUUgGdXnds8V7,dinner
77,You,"Raheem DeVaughn, ",spotify:track:4RMIDsxooqjhLIkxhlWzLa,dinner
78,Say Yes,"Floetry, ",spotify:track:2fE4MbwX3QGMzNaMjGVhtw,dinner
79,Between the Sheets,"The Isley Brothers, ",spotify:track:7GazZcRE8uDL24PzwyUe2f,dinner
80,Sweet Lady,"Tyrese, ",spotify:track:1Dx8rIZaXzZPvUQRF2j9hB,dinner
81,I Love You,"Faith Evans, ",spotify:track:6gsmFgUiSTuinJlScwFODv,dinner
82,Nothing Has Ever Felt Like This,"Rachelle Ferrell, ",spotify:track:0E6r8RJJE0WgS5GGsAIuBO,dinner
83,Overjoyed,"Stevie Wonder, ",spotify:track:2lnQcP5hr4RKR63TFvnI4k,dinner
84,I'd Give My Life For You - Alternate Mix,"Marvin Gaye, ",spotify:track:1emvYBqAWFPpFUQyhBG9He,dinner
85,Through The Fire,"Chaka Khan, ",spotify:track:7gh2v4IHnxdiwSgA6xluhe,dinner
86,I Never Wanna Live Without You,"Mary J. Blige, ",spotify:track:5oYwkqmQlYM6HXmC6psUym,dinner
87,Beautiful To Me,"Shane Filan, ",spotify:track:7fa1oiFqQFhlO8ghtLIGpR,dinner
88,Perfect Melody,"Nano, ",spotify:track:1OBlp2GgUQbPMtGNYg4Kdn,dinner
89,Ophelia,"The Lumineers, ",spotify:track:3qhobDAfBcVoOWZP8Ck8R2,dinner
90,Thinking Out Loud,"Ed Sheeran, ",spotify:track:34gCuhDGsG4bRPIf9bb02f,dinner
91,Some Type Of Love,"Charlie Puth, ",spotify:track:2nI6aT3cnPFoXQ1L705wcY,dinner
92,Dandelion,"Kacey Musgraves, ",spotify:track:5JhtfNV7PsT5L5nrIJ4IUp,dinner
93,Tiger Striped Sky,"Roo Panes, ",spotify:track:6FOyzhp375u8DapDyQqGTh,dinner
94,Bang My Head - Radio Version,"Sweetfire, ",spotify:track:3efYhFCibQlRplX1OP1924,dinner
95,Running Out - Live From The Studio / 2016,"Astrid S, ",spotify:track:1obcO5plIza6FtGmMD9ceN,dinner
96,Collide - Chris Lord-Alge Mix aka Radio Edit,"Howie Day, ",spotify:track:10tMVFMvd9224Zcq4A5dRL,dinner
97,Solid Ground,"Alex Vargas, ",spotify:track:5REdxRARKVoJuZppmwglN4,dinner
98,I Just Wanna Love You,"The Shires, ",spotify:track:6SJ1qt2W5A4AEdxjqajMWU,dinner
99,Diamond Mind,"Jonah Tolchin, ",spotify:track:2so9nFRdufwNO4A5Bmhqwd,dinner
100,Till The Sun Comes Up,"Gavin James, ",spotify:track:3I8PF8Xx9JcHbLhKqEdKgW,dinner
101,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez, ",spotify:track:06KyNuuMOX1ROXRhj787tj,dinner
102,Retreat,"Cocoon, Natalie Prass, ",spotify:track:0G9ndKuRExPgFmcp5SgBsp,dinner
103,Lost In My Mind,"The Head and the Heart, ",spotify:track:6AQGlm2uDrOVXPVJE4hrNu,dinner
104,Unstoppable,"Sia, ",spotify:track:059ACLUOyEcdruA2m9f2jd,dinner
105,Only You (with James Corden),"Kylie Minogue, James Corden, ",spotify:track:1eftIypOTzVCDPv9xLZPDN,dinner
106,Summertime Of Our Lives,"Cody Simpson, ",spotify:track:5TGZ9gUY5LoJLxDg7B5H7w,dinner
107,Like I'm Gonna Lose You,"Jasmine Thompson, ",spotify:track:2pV8RpdLemcyMWko8dASVt,dinner
108,Good Love,"Jason Castro, ",spotify:track:3xGea4DXyeushHopGks3y8,dinner
109,Trust Somebody,"Jackie Greene, ",spotify:track:0ELQGxXgUafqOu80urrauc,dinner
110,To Lose Someone,"Taken By Trees, ",spotify:track:5GkqK9pWQDOSZ1NKA1hCmD,dinner
111,Distance And Time,"Alicia Keys, ",spotify:track:1fDm1kCj6dwmviArCtCsOA,dinner
112,Chasing Pirates,"Norah Jones, ",spotify:track:7GsLrzsAash4bp75SltRaN,dinner
113,Vienna,"Billy Joel, ",spotify:track:4U45aEWtQhrm8A5mxPaFZ7,dinner
114,Am I Forgiven?,"Rumer, ",spotify:track:5svqb6M7Krlb9dkS2AWTyd,dinner
115,Nervous,"Gavin James, ",spotify:track:1bpAGufvAgqEIob4V1k7mP,dinner
116,After All This Time,"The Beautiful Girls, ",spotify:track:25IjPQGriH6U43pgITzSQz,dinner
117,The Three Of Me,"William Bell, ",spotify:track:0YoOpaGDxRwq6gFbbU8lRg,dinner
118,The Desert Babbler,"Iron & Wine, ",spotify:track:1X0mseEKRtcotfixQOCNR3,dinner
119,Lost Boy,"Ruth B, ",spotify:track:4h0zU3O9R5xzuTmNO7dNDU,dinner
120,Windy,"Scarlet Pleasure, ",spotify:track:6xraWJ8FdIJ8c8HpwXhNgs,dinner
121,Ugly Heart,"Thyra, ",spotify:track:7mNPYVxyHtEneLo7tjQJMj,dinner
122,Good People,"Jack Johnson, ",spotify:track:1A4WjuUXeFEVXjwgc7eVZ6,dinner
123,Stitches - Acoustic Version,"Chris Call, ",spotify:track:4CHJIqkY1bvrvfpP3qb2qi,dinner
124,Cassidy,"Brett Dennen, ",spotify:track:2JR7RCUN6pZIoyNzaqxdUa,dinner
125,When We Were Young,"Adele, ",spotify:track:7ilS0BPWS8ek2P2GaxH3cP,dinner
126,Love And Happiness,"Marc Broussard, ",spotify:track:5fMInRpERS8jP2zPz6QyUI,dinner
127,Do You Remember,"Jarryd James, ",spotify:track:5NerQeQcH7IbwZOEjCenst,dinner
128,Here Is Where Your Love Belongs,"Jaye P. Morgan, ",spotify:track:6SdUtkLRQtzXzsEHjEGHna,dinner
129,Carry On,"Norah Jones, ",spotify:track:5hzDqrcTySa1Ek9nRCRd7Q,dinner
130,Perfect,"Lucie Silvas, ",spotify:track:31jzyAcjx8yaU7A0tUNgTO,dinner
131,Comeback Kid,"The Band Perry, ",spotify:track:1JIonCKtbUUkRIeEJrQBGU,dinner
132,One Call Away,"Charlie Puth, ",spotify:track:37R0bQOQj5a7DOqh1TGzvB,dinner
133,Georgia,"Vance Joy, ",spotify:track:429EttO8gs0bDo2SQfUNSm,dinner
134,I Never Learn,"Lykke Li, ",spotify:track:0H9k5RFDiHzL0WTPBk7Xz8,dinner
135,America,"First Aid Kit, ",spotify:track:228IDYsx1EAHiuh9xLktmj,dinner
136,Roads,"Chris Mann, ",spotify:track:4ailHqDa2ThPlIsChM6neH,dinner
137,Marry Me,"Train, ",spotify:track:0VZ9xPNa6ROafP6GYYuv2S,dinner
138,Bridge,"High Highs, ",spotify:track:2HLd7alxKkXHU2KmbGUUVm,dinner
139,You Are So Beautiful,"Joe Cocker, ",spotify:track:7nb2hZWBxeG38lwcRjFqn4,dinner
140,Stay With Me,"Amos Lee, ",spotify:track:3fxc2GDtIjDprOyMFABWDs,dinner
141,I Could Be The One - Noonie Bao Acoustic Mix,"Avicii, Nicky Romero, ",spotify:track:1QDnmfye4v7yZ7RBPFjzXT,dinner
142,When I Was a Boy,"Electric Light Orchestra, ",spotify:track:7oZpnpAQYHe936t9pd3HKr,dinner
143,Hello,"Adele, ",spotify:track:1MDoll6jK4rrk2BcFRP5i7,dinner
144,Back At One,"Brian McKnight, ",spotify:track:6SQx5fpFMzeBrKsmj6xn1i,dinner
145,7 Years,"Lukas Graham, ",spotify:track:7MY77zbtJr7KOSrOza4S3L,dinner
146,Feeling Good,"Avicii, ",spotify:track:7oDjaRDdf9zNQ8N3yRjQwF,dinner
147,Stone,"Alessia Cara, Sebastian Kole, ",spotify:track:5TDxhVHsd9AxcWieCsYtcs,dinner
148,Nothing Really Matters,"Mr. Probz, ",spotify:track:7fWSIddv6LJG8ZXJFNVQyi,dinner
149,Nana,"The 1975, ",spotify:track:1JmLA5HZ7Wp7L8DNctLpUW,dinner
150,Rude - Acoustic Version,"Sweetfire, ",spotify:track:7COMDcdoMSxa2xl20MkYqj,dinner
151,Little Talks,"Julia Sheer & Jon D, ",spotify:track:1ulDt6ySVbMbzZCBO6hSfb,dinner
152,The Breach,"Dustin Tebbutt, ",spotify:track:1WXVfFRD89EtVURD4Tbixo,dinner
153,Dust to Dust,"The Civil Wars, ",spotify:track:5P6ZBMWS66FVo6deJaDdHy,dinner
154,Burning House,"Cam, ",spotify:track:2zhk0kypGeOPsaaZcjyc14,dinner
155,Home,"Max Jury, ",spotify:track:5vGpdYEtZbiBVq1dT6SCqI,dinner
156,Have I Told You Lately - 2008 Remastered Version,"Rod Stewart, ",spotify:track:7Lwj4BttdzmwGIL5pigaMV,dinner
157,Quits,"Danny O'Keefe, ",spotify:track:2pHMa8nz26rjjBf2a6wgY8,dinner
158,Breakers Roar,"Sturgill Simpson, ",spotify:track:7rR5X9RKz5VprclstYOLb5,dinner
159,Cherry Blossom Girl,"Air, ",spotify:track:4m8ttWM8IKXyhpv89E867J,dinner
160,The Other Part of Me,"Lillie McCloud, ",spotify:track:5jAKG8v1Xo3hOqcZwgZ22Y,dinner
161,You And Me,"Lifehouse, ",spotify:track:4T2SmVJPtDdugk5j5xV1d5,dinner
162,Close To You,"Dionne Warwick, Mýa, ",spotify:track:7Eb59n8SQ59pPFArft6W53,dinner
163,I Hope That I Don't Fall In Love With You,"Tom Waits, ",spotify:track:0oYo06FRCBtrE3kWrDcsDF,dinner
164,Without You (Alternate Version),"Tobias Jesso Jr., ",spotify:track:4zzVVVW5qjEevwa6T51C0O,dinner
165,Walk The Line,"Ben L'Oncle Soul, ",spotify:track:30YeduyphaQJydQLUBXEEP,dinner
166,Heroes - Acoustic Version,"Hamilton, ",spotify:track:104Rq6Oh9cRttOFKVPiVmo,dinner
167,Last Request,"Paolo Nutini, ",spotify:track:6xM8oBy40nK1rOd8WmoOPx,dinner
168,I Don't Want To Change You,"Damien Rice, ",spotify:track:2WOpBtXX02RS4UCzBholDq,dinner
169,Mykonos,"Fleet Foxes, ",spotify:track:3RVupqMb1zXl8FNG9TlWBZ,dinner
170,Soundwaves of Gold,"The Daydream Club, ",spotify:track:2YVGvtfEQall8Grv3CTfgq,dinner
171,Mess Is Mine,"Vance Joy, ",spotify:track:7BVwi9cIzSc6tpyxsp47vJ,dinner
172,Half A Native,"Buxton, ",spotify:track:1wmLLUmH0mNjDkyS5eW6ge,dinner
173,Lost in My Mind,"The Head and the Heart, ",spotify:track:3gvAGvbMCRvVDDp8ZaIPV5,dinner
174,Jolene,"Ray LaMontagne, ",spotify:track:2fSIF8CJhoc9CJhF9vJDXp,dinner
175,Devil's Spoke,"Laura Marling, ",spotify:track:3dhLTGgw1EvjXExJYxTfWw,dinner
176,Funtimes in Babylon,"Father John Misty, ",spotify:track:2OTovEYN1lx57YfLEe4ylM,dinner
177,1957,"Milo Greene, ",spotify:track:08cXy6KUizaAelYXtcew3w,dinner
178,Ends of the Earth,"Lord Huron, Ben Schneider, ",spotify:track:0wCdVAzMXQRstCMaYcTRs5,dinner
179,Silly Things,"Wild Child, ",spotify:track:0k2ZJ0m9z3FVkeFhgB5QiW,dinner
180,King of the World,"First Aid Kit, ",spotify:track:3QNVDWzBXxbwWcBwZc79qM,dinner
181,Hey,"Falls, ",spotify:track:061JLUPX1zwaAfZVqtopAo,dinner
182,Wild Country,"Wake Owl, ",spotify:track:0Hb2wHT0WevP1oSjp1Ubev,dinner
183,Nothing to Show For,"Nathaniel Rateliff, ",spotify:track:26p3fcRB4MtqizEUYoaSmW,dinner
184,Another,"Greylag, ",spotify:track:6rKl4Ooob8IXYFoYgRFo7b,dinner
185,The Walls Are Coming Down,"Fanfarlo, ",spotify:track:1xXLNhxX57cZqLsDPlKZpc,dinner
186,I Am Not Waiting Anymore,"Field Report, ",spotify:track:6PCf10OiKJyah7OkiIzrEF,dinner
187,Poison Cup,"M. Ward, ",spotify:track:0vwNpXR7SPHC5Ef7f5W4DA,dinner
188,Home from Home,"Roo Panes, ",spotify:track:3ZrxDW8SSPZkGPwDggS9zh,dinner
189,Cherry Wine - Live,"Hozier, ",spotify:track:0bZ52QzCCKfrfOqs7za6lI,dinner
190,Either Way,"Beta Radio, ",spotify:track:3ihp0qYSN89GBnrgF6GhRh,dinner
191,Northern Lights,"Bowerbirds, ",spotify:track:3o2tw8emnaXFAIKBYdKW5T,dinner
192,5 Years Time,"Noah And The Whale, ",spotify:track:1KlDcHrlDPUJJPmMup3tUp,dinner
193,Don't Let It Get You Down,"Johnnyswim, ",spotify:track:72BlyfR0zO3NWcLZQ1ARcK,dinner
194,Amy,"Ryan Adams, ",spotify:track:7qzqcfLHBAUherRXgW4Ul7,dinner
195,At Home,"Crystal Fighters, ",spotify:track:5Zp4SWOpbuOdnsxLqwgutt,dinner
196,Little More Time,"Ciaran Lavery, ",spotify:track:5Sn4XTt5iCcHgX9bKeQhZf,dinner
197,Easy to Love - Live at Spotify House,"Ivan & Alyosha, ",spotify:track:1qhlfTipmALXorAyNHoEiH,dinner
198,Elation,"Isbells, ",spotify:track:7I7LzsOIMxsFZ3B8nDDG7y,dinner
199,Into the Fire,"Foy Vance, ",spotify:track:5k0XigfR3dI8VmaYo2BV2K,dinner
200,A Candle's Fire,"Beirut, ",spotify:track:3OxuCeQqFNGjLuZUlEXzZp,dinner
